n,Runtime
30850,0.185216696
30900,0.186007264
30950,0.18805012
31000,0.185999292
31050,0.186397452
31100,0.183335776
31150,0.184883656
31200,0.187717128
31250,0.187087984
31300,0.191389288
31350,0.191778516
31400,0.19183864
31450,0.188896872
31500,0.19505756
31550,0.189461432
31600,0.190488008
31650,0.18971274
31700,0.18955012
31750,0.189317952
31800,0.191710152
31850,0.189975364
31900,0.18887608
31950,0.190572672
32000,0.193238692
32050,0.193233544
32100,0.194459536
32150,0.195621948
32200,0.192989516
32250,0.191372412
32300,0.19523508
32350,0.194159912
32400,0.194284064
32450,0.199163748
32500,0.196335412
32550,0.197271996
32600,0.196370208
32650,0.198567884
32700,0.200681564
32750,0.19546728
32800,0.199932572
32850,0.194751796
32900,0.198763504
32950,0.199545488
33000,0.19784748
33050,0.1986099
33100,0.199974904
33150,0.198601568
33200,0.197956368
33250,0.198042556
33300,0.201166344
33350,0.197742564
33400,0.203104844
33450,0.202474444
33500,0.200791092
33550,0.210634316
33600,0.201190904
33650,0.206565648
33700,0.20291524
33750,0.198376072
33800,0.201382908
33850,0.20450434
33900,0.203866452
33950,0.206187044
34000,0.20418788
34050,0.209627352
34100,0.20699552
34150,0.203558136
34200,0.20655938
34250,0.20566662
34300,0.212332432
34350,0.206843572
34400,0.205121632
34450,0.20804654
34500,0.208301224
34550,0.211432992
34600,0.211790692
34650,0.209393344
34700,0.209556976
34750,0.20964958
34800,0.209814432
34850,0.209850384
34900,0.210699012
34950,0.208779588
35000,0.210566852
35050,0.213056616
35100,0.208739996
35150,0.213253836
35200,0.214166944
35250,0.211569252
35300,0.217584512
35350,0.216248328
35400,0.217634688
35450,0.216799668
35500,0.218424768
35550,0.215474536
35600,0.21389634
35650,0.213815832
35700,0.214163116
35750,0.220030352
35800,0.217235852
35850,0.216708104
35900,0.21754532
35950,0.215854892
36000,0.223111768
36050,0.2200745
36100,0.218418304
36150,0.2216214
36200,0.217092808
36250,0.220116232
36300,0.227438084
36350,0.219200392
36400,0.222144912
36450,0.220724188
36500,0.222528044
36550,0.22551524
36600,0.221967904
36650,0.220249844
36700,0.222549636
36750,0.218348444
36800,0.220716896
36850,0.219586148
36900,0.223117508
36950,0.222426128
37000,0.22393338
37050,0.228118248
37100,0.22460354
37150,0.222830804
37200,0.2264461
37250,0.228192548
37300,0.2265299
37350,0.22724308
37400,0.22675422
37450,0.22879852
37500,0.230862676
37550,0.232359116
37600,0.231495564
37650,0.22981612
37700,0.238175488
37750,0.231326548
37800,0.234311352
37850,0.265244512
37900,0.250104128
37950,0.240623052
38000,0.24212132
38050,0.241446096
38100,0.244912748
38150,0.252838152
38200,0.264041736
38250,0.264524316
38300,0.238487992
38350,0.237396804
38400,0.25598948
38450,0.252517212
